job_title,salary_usd,experience_level,country,remote_type,company_size,source,matched_occupation,automation_probability,match_score,bls_matched_title,bls_mean_salary_usd,bls_match_score,bls_total_employment,ai_risk_band
Data Engineer,224000.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,150000.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Analyst,84000.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,75800.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Cloud Database Engineer,146125.0,Mid-level,United States,Remote,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Cloud Database Engineer,82000.0,Mid-level,United States,Remote,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence,207600.0,Mid-level,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence,138400.0,Mid-level,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Data Analyst,94600.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,75700.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Science,331292.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
Data Science,244868.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,74.07407407407408,233440.0,Unknown
Data Scientist,190000.0,Senior,United States,Remote,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,155000.0,Senior,United States,Remote,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Engineer,168000.0,Mid-level,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,158000.0,Mid-level,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Head of Data,243000.0,Executive,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Head of Data,163000.0,Executive,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Data Scientist,170000.0,Senior,United States,Remote,Medium,dataset_A,,,,data scientists,124590.0,96.55172413793103,233440.0,Unknown
Machine Learning Engineer,125333.0,Senior,Lithuania,On-site,Medium,dataset_A,,,,,,0.0,,Unknown
Machine Learning Engineer,81333.0,Senior,Lithuania,On-site,Medium,dataset_A,medical scientists,0.005,75.0,,,0.0,,Low
Business Intelligence,192500.0,Senior,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,,,0.0,,Low
Business Intelligence,134900.0,Senior,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,,,0.0,,Low
Data Scientist,227000.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,96.55172413793103,233440.0,Unknown
Data Scientist,192780.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,96.55172413793103,233440.0,Unknown
BI Analyst,85000.0,Mid-level,United States,Remote,Medium,dataset_A,medical scientists,0.005,75.0,budget analysts,93920.0,72.0,47170.0,Low
BI Analyst,70000.0,Mid-level,United States,Remote,Medium,dataset_A,medical scientists,0.005,75.0,budget analysts,93920.0,72.0,47170.0,Low
Analytics Engineer,180000.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,electrical engineers,120980.0,68.42105263157895,188790.0,Unknown
Analytics Engineer,112000.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,electrical engineers,120980.0,68.42105263157895,188790.0,Unknown
Data Engineer,130000.0,Senior,United States,On-site,Medium,dataset_A,electrical engineers,0.1,68.42105263157895,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,100000.0,Senior,United States,On-site,Medium,dataset_A,electrical engineers,0.1,68.42105263157895,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,140000.0,Senior,United States,Remote,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,100000.0,Senior,United States,Remote,Medium,dataset_A,aerospace engineers,0.017,68.75,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Scientist,175000.0,Mid-level,United States,Remote,Medium,dataset_A,aerospace engineers,0.017,68.75,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,135000.0,Mid-level,United States,Remote,Medium,dataset_A,aerospace engineers,0.017,68.75,data scientists,124590.0,96.55172413793103,233440.0,Low
